Location ID,Depth Top,Depth Base,Geology Code
,2.0,7.0,MARINE CLAY DEPOSITS
,7.0,14.0,GLACIOFLUVIAL (SAND) DEPOSITS
,14.0,19.0,GLACIAL TILL
,19.0,36.0,BEDROCK
HA-D1,0.0,6.0,FILL
,6.0,9.5,MARINE CLAY DEPOSITS
,9.5,19.5,GLACIOFLUVIAL (SAND) DEPOSITS
,19.5,26.0,GLACIAL TILL
,26.0,27.5,BEDROCK
HA-D2,0.0,1.0,FILL
,1.0,9.0,MARINE CLAY DEPOSITS
,9.0,22.0,GLACIOFLUVIAL (SAND) DEPOSITS
,22.0,34.0,GLACIAL TILL
,34.0,38.0,WEATHERED BEDROCK
,38.0,48.0,BEDROCK
HA-D3,0.0,0.3,FILL
,0.3,8.0,MARINE CLAY DEPOSITS
,8.0,18.0,GLACIOFLUVIAL (SAND) DEPOSITS
,18.0,18.5,BEDROCK
HA-D4,0.0,2.0,FILL
,2.0,9.0,MARINE CLAY DEPOSITS
,9.0,19.5,GLACIOFLUVIAL (SAND) DEPOSITS
,19.5,22.5,GLACIAL TILL
,22.5,24.0,BEDROCK
,0.0,6.0,FILL
,0.0,6.0,FILL
HA09-1,0.0,8.5,FILL
,8.5,44.5,MARINE CLAY DEPOSITS
,44.5,67.0,GLACIOFLUVIAL (SAND) DEPOSITS
HA09-2 (OW) ,0.0,8.5,FILL
,8.5,35.0,MARINE CLAY DEPOSITS
,35.0,52.0,GLACIOFLUVIAL (SAND) DEPOSITS
HA09-3,0.0,4.5,FILL
,4.5,14.5,MARINE CLAY DEPOSITS
,14.5,42.0,GLACIOFLUVIAL (SAND) DEPOSITS
HA09-4,0.0,4.5,FILL
,4.5,18.0,MARINE CLAY DEPOSITS
,18.0,52.0,GLACIOFLUVIAL (SAND) DEPOSITS
,52.0,57.0,GLACIAL TILL
HA10-1 (OW),0.0,4.0,FILL
,4.0,25.0,MARINE CLAY DEPOSITS
HA10-2,0.0,4.0,FILL
,4.0,10.0,MARINE CLAY DEPOSITS
B-1,0.0,3.0,FILL
,3.0,24.9,MARINE CLAY DEPOSITS
,24.9,27.1,GLACIAL TILL
B-2,0.0,7.5,FILL
,7.5,27.0,MARINE CLAY DEPOSITS
,27.0,29.0,GLACIAL TILL
B-301,0.0,8.0,FILL
,8.0,15.0,MARINE CLAY DEPOSITS
,15.0,21.2,GLACIOFLUVIAL (SAND) DEPOSITS
,21.2,43.5,GLACIAL TILL
,43.5,49.0,BEDROCK
MW-601,0.0,0.3,FILL
,0.3,12.5,MARINE CLAY DEPOSITS
,12.5,17.5,GLACIOFLUVIAL (SAND) DEPOSITS
,17.5,31.5,GLACIAL TILL
,31.5,72.0,BEDROCK
MW-702,0.0,7.5,FILL
,7.5,44.0,MARINE CLAY DEPOSITS
,44.0,55.3,GLACIAL TILL
,55.3,69.5,BEDROCK
MW-703,0.0,6.0,FILL
,6.0,13.0,MARINE CLAY DEPOSITS
,13.0,22.5,GLACIOFLUVIAL (SAND) DEPOSITS
,22.5,31.5,GLACIAL TILL
,31.5,62.5,BEDROCK
MW-701,0.0,6.3,FILL
,6.3,15.9,GLACIOFLUVIAL (SAND) DEPOSITS
,15.9,36.5,GLACIAL TILL
,36.5,70.5,BEDROCK
B90-2,0.0,11.0,FILL
,11.0,26.0,MARINE CLAY DEPOSITS
,26.0,49.0,GLACIOFLUVIAL (SAND) DEPOSITS
,49.0,56.0,GLACIAL TILL
,56.0,66.7,BEDROCK
TB-1 (OW),0.0,30.0,FILL
,30.0,62.5,MARINE CLAY DEPOSITS
,62.5,72.0,GLACIAL TILL
,72.0,79.0,BEDROCK
TB-2,0.0,1.0,FILL
,1.0,63.0,MARINE CLAY DEPOSITS
,63.0,73.9,GLACIAL TILL
,73.9,79.0,BEDROCK
,0.0,8.0,FILL
,0.0,22.5,FILL
TB-4,0.0,2.0,FILL
,2.0,61.5,MARINE CLAY DEPOSITS
,61.5,78.1,GLACIOFLUVIAL (SAND) DEPOSITS
,78.1,79.0,BEDROCK
TB-5,0.0,5.0,FILL
,5.0,62.5,MARINE CLAY DEPOSITS
,62.5,65.7,GLACIAL TILL
,65.7,66.8,WEATHERED BEDROCK
,66.8,67.8,BEDROCK
TB-6,0.0,1.3,FILL
,1.3,62.0,MARINE CLAY DEPOSITS
,62.0,71.5,GLACIOFLUVIAL (SAND) DEPOSITS
,71.5,84.0,WEATHERED BEDROCK
TB-7 OW,0.0,1.0,FILL
,1.0,59.5,MARINE CLAY DEPOSITS
,59.5,67.6,GLACIAL TILL
,67.6,68.6,BEDROCK
BT-1,0.0,9.0,FILL
,9.0,28.5,MARINE CLAY DEPOSITS
,28.5,41.0,GLACIOFLUVIAL (SAND) DEPOSITS
BT-2,0.0,6.5,FILL
,6.5,33.5,MARINE CLAY DEPOSITS
,33.5,40.5,GLACIOFLUVIAL (SAND) DEPOSITS
BT-3,0.0,9.0,FILL
,9.0,30.0,MARINE CLAY DEPOSITS
,30.0,41.0,GLACIOFLUVIAL (SAND) DEPOSITS
B89-1,0.0,9.5,FILL
,9.5,40.0,MARINE CLAY DEPOSITS
,40.0,60.0,GLACIOFLUVIAL (SAND) DEPOSITS
,60.0,87.0,GLACIAL TILL
B89-2,0.0,3.0,FILL
,3.0,28.0,MARINE CLAY DEPOSITS
