Location ID,Depth Top,Depth Base,Geology Code,Location Code
HA12-16,0.0,24.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,24.0,55.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,55.0,82.5,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,82.5,101,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-1,0.0,3.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-1,3.0,10, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-2,0.0,2.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-2,2.5,10, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,0.0,8.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,8.0,10.0,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,10.0,12, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B102,0.0,9.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B102,9.0,12, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,0.0,10.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,10.0,15.5,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,15.5,27, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-2,0.0,17.4,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-2,17.4,27,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 1,0.0,8.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 1,8.0,30.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 1,30.0,40.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 1,40.0,77,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 2-OW,0.0,14.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 2-OW,14.5,19.0,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 2-OW,19.0,45.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 2-OW,45.0,58.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 2-OW,58.0,62,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 3,0.0,5.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 3,5.0,8.5, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 3,8.5,58.5,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 3,58.5,70,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
Boring 1,0.0,8.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 1,8.0,14.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 1,14.0,18.5,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 1,18.5,24.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 1,24.0,56,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 2,0.0,5.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 2,5.0,8.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 2,8.5,20.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 2,20.0,29.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 2,29.0,44,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 3,0.0,1.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 3,1.0,11.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 3,11.5,23.5,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 3,23.5,31.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 3,31.0,38,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 4 ,0.0,14.5,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 4 ,14.5,30.5,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
Boring 4 ,30.5,35.5,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A1,0.0,1.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A1,1.0,13.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A1,13.5,33.2,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A1,33.2,34,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A3,0.0,12.3,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A3,12.3,21.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A3,21.0,24.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A3,24.0,48.5,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-A3,48.5,59,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B1,0.0,0.3,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B1,0.3,9.2, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B1,9.2,23.3,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B1,23.3,25,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B2,0.0,4.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B2,4.0,17.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B2,17.0,39.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B2,39.0,40.5,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B3 (MW-BR),0.0,0.9,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B3 (MW-BR),0.9,16.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B3 (MW-BR),16.0,28.8,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
